Processor,Transistor count,Year,Designer,Process(nm),Area (mm2),Transistordensity(tr./mm2),Transistor_Count_C
"MP944(20-bit, 6-chip, 28 chips total)","74,442 (5,360 excl. ROM & RAM)[15][16]",1970,Garrett AiResearch,?,?,?,74442
"Intel 4004(4-bit, 16-pin)","2,250",1971,Intel,"10,000 nm",12 mm2,188,2250
"TMX 1795(?-bit, 24-pin)","3,078[17]",1971,Texas Instruments,?,30.64 mm2,100.5,3078
"Intel 8008(8-bit, 18-pin)","3,500",1972,Intel,"10,000 nm",14 mm2,250,3500
"NEC μCOM-4(4-bit, 42-pin)","2,500[18][19]",1973,NEC,"7,500 nm[20]",?,?,2500
Toshiba TLCS-12(12-bit),"11,000+[21]",1973,Toshiba,"6,000 nm",32 mm2,340+,11000
"Intel 4040(4-bit, 16-pin)","3,000",1974,Intel,"10,000 nm",12 mm2,250,3000
"Motorola 6800(8-bit, 40-pin)","4,100",1974,Motorola,"6,000 nm",16 mm2,256,4100
"Intel 8080(8-bit, 40-pin)","6,000",1974,Intel,"6,000 nm",20 mm2,300,6000
"TMS 1000(4-bit, 28-pin)","8,000[b]",1974,Texas Instruments,"8,000 nm",11 mm2,730,8000
"MOS Technology 6502(8-bit, 40-pin)","4,528[c][23]",1975,MOS Technology,"8,000 nm",21 mm2,216,4528
"Intersil IM6100(12-bit, 40-pin;clone ofPDP-8)","4,000",1975,Intersil,?,?,?,4000
"CDP 1801(8-bit, 2-chip, 40-pin)","5,000",1975,RCA,?,?,?,5000
"RCA 1802(8-bit, 40-pin)","5,000",1976,RCA,"5,000 nm",27 mm2,185,5000
"Zilog Z80(8-bit, 4-bitALU, 40-pin)","8,500[d]",1976,Zilog,"4,000 nm",18 mm2,470,8500
"Intel 8085(8-bit, 40-pin)","6,500",1976,Intel,"3,000 nm",20 mm2,325,6500
TMS9900(16-bit),"8,000",1976,Texas Instruments,?,?,?,8000
Bellmac-8 (8-bit),"7,000",1977,Bell Labs,"5,000 nm",?,?,7000
"Motorola 6809(8-bitwith some 16-bit features, 40-pin)","9,000",1978,Motorola,"5,000 nm",21 mm2,430,9000
"Intel 8086(16-bit, 40-pin)","29,000[24]",1978,Intel,"3,000 nm",33 mm2,880,29000
Zilog Z8000(16-bit),"17,500[25]",1979,Zilog,?,?,?,17500
"Intel 8088(16-bit, 8-bit data bus)","29,000",1979,Intel,"3,000 nm",33 mm2,880,29000
"Motorola 68000(16/32-bit,32-bit registers, 16-bitALU)","68,000[26]",1979,Motorola,"3,500 nm",44 mm2,"1,550",68000
"Intel 8051(8-bit, 40-pin)","50,000",1980,Intel,?,?,?,50000
WDC 65C02,"11,500[27]",1981,WDC,"3,000 nm",6 mm2,"1,920",11500
ROMP(32-bit),"45,000",1981,IBM,"2,000 nm",58.52 mm2,770,45000
"Intel 80186(16-bit, 68-pin)","55,000",1982,Intel,"3,000 nm",60 mm2,920,55000
"Intel 80286(16-bit, 68-pin)","134,000",1982,Intel,"1,500 nm",49 mm2,"2,730",134000
WDC 65C816(8/16-bit),"22,000[28]",1983,WDC,"3,000 nm[29]",9 mm2,"2,400",22000
NEC V20,"63,000",1984,NEC,?,?,?,63000
Motorola 68020(32-bit; 114 pins used),"190,000[30]",1984,Motorola,"2,000 nm",85 mm2,"2,200",190000
"Intel 80386(32-bit, 132-pin; no cache)","275,000",1985,Intel,"1,500 nm",104 mm2,"2,640",275000
ARM 1(32-bit; no cache),"25,000[30]",1985,Acorn,"3,000 nm",50 mm2,500,25000
Novix NC4016 (16-bit),"16,000[31]",1985,Harris Corporation,"3,000 nm[33]",?,?,16000
SPARC MB86900(32-bit; no cache),"110,000[34]",1986,Fujitsu,"1,200 nm",?,?,110000
NEC V60[35](32-bit; no cache),"375,000",1986,NEC,"1,500 nm",?,?,375000
"ARM 2(32-bit, 84-pin; no cache)","27,000[36][30]",1986,Acorn,"2,000 nm",30.25 mm2,890,27000
Z80000(32-bit; very small cache),"91,000",1986,Zilog,?,?,?,91000
NEC V70[35](32-bit; no cache),"385,000",1987,NEC,"1,500 nm",?,?,385000
Hitachi Gmicro/200[37],"730,000",1987,Hitachi,"1,000 nm",?,?,730000
"Motorola 68030(32-bit, very small caches)","273,000",1987,Motorola,800 nm,102 mm2,"2,680",273000
TI Explorer's 32-bitLispmachinechip,"553,000[38]",1987,Texas Instruments,"2,000 nm[39]",?,?,553000
DEC WRL MultiTitan,"180,000[40]",1988,DEC WRL,"1,500 nm",61 mm2,"2,950",180000
